Node Number,X Location (in),Y Location (in),Z Location (in)
203,1.7187,5.2244,0.1
204,1.7187,5.3796,0.1
205,1.7187,5.5347,0.1
206,1.7187,5.6898,0.1
207,1.7187,5.8449,0.1
208,1.5625,0.15536,0.1
209,1.5625,0.31073,0.1
210,1.5625,0.46609,0.1
211,1.5625,0.62146,0.1
212,1.5625,0.77682,0.1
213,1.5625,0.93219,0.1
214,1.5625,1.0876,0.1
215,1.5625,1.2429,0.1
216,1.5625,1.3983,0.1
217,1.5625,1.5536,0.1
218,1.5625,1.709,0.1
219,1.5625,1.8644,0.1
220,1.5625,2.0197,0.1
221,1.5625,2.1831,0.1
222,1.5625,2.3465,0.1
223,1.5625,2.5099,0.1
224,1.5625,2.6732,0.1
225,1.5625,2.8366,0.1
226,1.5625,3.,0.1
227,1.5625,3.1634,0.1
228,1.5625,3.3268,0.1
229,1.5625,3.4901,0.1
230,1.5625,3.6535,0.1
231,1.5625,3.8169,0.1
232,1.5625,3.9803,0.1
233,1.5625,4.1356,0.1
234,1.5625,4.291,0.1
235,1.5625,4.4464,0.1
236,1.5625,4.6017,0.1
237,1.5625,4.7571,0.1
238,1.5625,4.9124,0.1
239,1.5625,5.0678,0.1
240,1.5625,5.2232,0.1
241,1.5625,5.3785,0.1
242,1.5625,5.5339,0.1
243,1.5625,5.6893,0.1
244,1.5625,5.8446,0.1
245,1.4062,0.15562,0.1
246,1.4062,0.31123,0.1
247,1.4062,0.46685,0.1
248,1.4062,0.62247,0.1
249,1.4062,0.77809,0.1
250,1.4062,0.9337,0.1
251,1.4062,1.0893,0.1
252,1.4062,1.2449,0.1
253,1.4062,1.4006,0.1
254,1.4062,1.5562,0.1
255,1.4062,1.7118,0.1
256,1.4062,1.8674,0.1
257,1.4062,2.023,0.1
258,1.4062,2.1859,0.1
259,1.4062,2.3487,0.1
260,1.4062,2.5115,0.1
261,1.4062,2.6743,0.1
262,1.4062,2.8372,0.1
263,1.4062,3.,0.1
264,1.4062,3.1628,0.1
265,1.4062,3.3257,0.1
266,1.4062,3.4885,0.1
267,1.4062,3.6513,0.1
268,1.4062,3.8141,0.1
269,1.4062,3.977,0.1
270,1.4062,4.1326,0.1
271,1.4062,4.2882,0.1
272,1.4062,4.4438,0.1
273,1.4062,4.5994,0.1
274,1.4062,4.7551,0.1
275,1.4062,4.9107,0.1
276,1.4062,5.0663,0.1
277,1.4062,5.2219,0.1
278,1.4062,5.3775,0.1
279,1.4062,5.5331,0.1
280,1.4062,5.6888,0.1
281,1.4062,5.8444,0.1
282,1.25,0.15587,0.1
283,1.25,0.31174,0.1
284,1.25,0.46761,0.1
285,1.25,0.62348,0.1
286,1.25,0.77935,0.1
287,1.25,0.93522,0.1
288,1.25,1.0911,0.1
289,1.25,1.247,0.1
290,1.25,1.4028,0.1
291,1.25,1.5587,0.1
292,1.25,1.7146,0.1
293,1.25,1.8704,0.1
294,1.25,2.0263,0.1
295,1.25,2.1886,0.1
296,1.25,2.3509,0.1
297,1.25,2.5132,0.1
298,1.25,2.6754,0.1
299,1.25,2.8377,0.1
300,1.25,3.,0.1
301,1.25,3.1623,0.1
302,1.25,3.3246,0.1
303,1.25,3.4868,0.1
304,1.25,3.6491,0.1
305,1.25,3.8114,0.1
306,1.25,3.9737,0.1
307,1.25,4.1296,0.1
308,1.25,4.2854,0.1
309,1.25,4.4413,0.1
310,1.25,4.5972,0.1
311,1.25,4.753,0.1
312,1.25,4.9089,0.1
313,1.25,5.0648,0.1
314,1.25,5.2206,0.1
315,1.25,5.3765,0.1
316,1.25,5.5324,0.1
317,1.25,5.6883,0.1
318,1.25,5.8441,0.1
319,1.0937,0.15612,0.1
320,1.0937,0.31225,0.1
321,1.0937,0.46837,0.1
322,1.0937,0.62449,0.1
323,1.0937,0.78062,0.1
324,1.0937,0.93674,0.1
325,1.0937,1.0929,0.1
326,1.0937,1.249,0.1
327,1.0937,1.4051,0.1
328,1.0937,1.5612,0.1
329,1.0937,1.7174,0.1
330,1.0937,1.8735,0.1
331,1.0937,2.0296,0.1
332,1.0937,2.1913,0.1
333,1.0937,2.3531,0.1
334,1.0937,2.5148,0.1
335,1.0937,2.6765,0.1
336,1.0937,2.8383,0.1
337,1.0937,3.,0.1
338,1.0937,3.1617,0.1
339,1.0937,3.3235,0.1
340,1.0937,3.4852,0.1
341,1.0937,3.6469,0.1
342,1.0937,3.8087,0.1
343,1.0937,3.9704,0.1
344,1.0937,4.1265,0.1
345,1.0937,4.2826,0.1
346,1.0937,4.4388,0.1
347,1.0937,4.5949,0.1
348,1.0937,4.751,0.1
349,1.0937,4.9071,0.1
350,1.0937,5.0633,0.1
351,1.0937,5.2194,0.1
352,1.0937,5.3755,0.1
353,1.0937,5.5316,0.1
354,1.0937,5.6878,0.1
355,1.0937,5.8439,0.1
356,0.93748,0.15638,0.1
357,0.93748,0.31275,0.1
358,0.93748,0.46913,0.1
359,0.93748,0.62551,0.1
360,0.93748,0.78188,0.1
361,0.93748,0.93826,0.1
362,0.93748,1.0946,0.1
363,0.93748,1.251,0.1
364,0.93748,1.4074,0.1
365,0.93748,1.5638,0.1
366,0.93748,1.7201,0.1
367,0.93748,1.8765,0.1
368,0.93748,2.0329,0.1
369,0.93748,2.1941,0.1
370,0.93748,2.3553,0.1
371,0.93748,2.5164,0.1
372,0.93748,2.6776,0.1
373,0.93748,2.8388,0.1
374,0.93748,3.,0.1
375,0.93748,3.1612,0.1
376,0.93748,3.3224,0.1
377,0.93748,3.4836,0.1
378,0.93748,3.6447,0.1
379,0.93748,3.8059,0.1
380,0.93748,3.9671,0.1
381,0.93748,4.1235,0.1
382,0.93748,4.2799,0.1
383,0.93748,4.4362,0.1
384,0.93748,4.5926,0.1
385,0.93748,4.749,0.1
386,0.93748,4.9054,0.1
387,0.93748,5.0617,0.1
388,0.93748,5.2181,0.1
389,0.93748,5.3745,0.1
390,0.93748,5.5309,0.1
391,0.93748,5.6872,0.1
392,0.93748,5.8436,0.1
393,0.78123,0.15663,0.1
394,0.78123,0.31326,0.1
395,0.78123,0.46989,0.1
396,0.78123,0.62652,0.1
397,0.78123,0.78315,0.1
398,0.78123,0.93978,0.1
399,0.78123,1.0964,0.1
400,0.78123,1.253,0.1
401,0.78123,1.4097,0.1
402,0.78123,1.5663,0.1
403,0.78123,1.7229,0.1
404,0.78123,1.8796,0.1
405,0.78123,2.0362,0.1
406,0.78123,2.1968,0.1
407,0.78123,2.3575,0.1
408,0.78123,2.5181,0.1
409,0.78123,2.6787,0.1
410,0.78123,2.8394,0.1
411,0.78123,3.,0.1
412,0.78123,3.1606,0.1
413,0.78123,3.3213,0.1
414,0.78123,3.4819,0.1
415,0.78123,3.6425,0.1
416,0.78123,3.8032,0.1
417,0.78123,3.9638,0.1
418,0.78123,4.1204,0.1
419,0.78123,4.2771,0.1
420,0.78123,4.4337,0.1
421,0.78123,4.5903,0.1
422,0.78123,4.747,0.1
423,0.78123,4.9036,0.1
424,0.78123,5.0602,0.1
425,0.78123,5.2169,0.1
426,0.78123,5.3735,0.1
427,0.78123,5.5301,0.1
428,0.78123,5.6867,0.1
429,0.78123,5.8434,0.1
430,0.62499,0.15688,0.1
431,0.62499,0.31377,0.1
432,0.62499,0.47065,0.1
433,0.62499,0.62753,0.1
434,0.62499,0.78441,0.1
435,0.62499,0.9413,0.1
436,0.62499,1.0982,0.1
437,0.62499,1.2551,0.1
438,0.62499,1.4119,0.1
439,0.62499,1.5688,0.1
440,0.62499,1.7257,0.1
441,0.62499,1.8826,0.1
442,0.62499,2.0395,0.1
443,0.62499,2.1996,0.1
444,0.62499,2.3596,0.1
445,0.62499,2.5197,0.1
446,0.62499,2.6798,0.1
447,0.62499,2.8399,0.1
448,0.62499,3.,0.1
449,0.62499,3.1601,0.1
450,0.62499,3.3202,0.1
451,0.62499,3.4803,0.1
452,0.62499,3.6404,0.1
453,0.62499,3.8004,0.1
454,0.62499,3.9605,0.1
455,0.62499,4.1174,0.1
456,0.62499,4.2743,0.1
457,0.62499,4.4312,0.1
458,0.62499,4.5881,0.1
459,0.62499,4.7449,0.1
460,0.62499,4.9018,0.1
461,0.62499,5.0587,0.1
462,0.62499,5.2156,0.1
463,0.62499,5.3725,0.1
464,0.62499,5.5294,0.1
465,0.62499,5.6862,0.1
466,0.62499,5.8431,0.1
467,0.46874,0.15714,0.1
468,0.46874,0.31427,0.1
469,0.46874,0.47141,0.1
470,0.46874,0.62854,0.1
471,0.46874,0.78568,0.1
472,0.46874,0.94281,0.1
473,0.46874,1.0999,0.1
474,0.46874,1.2571,0.1
475,0.46874,1.4142,0.1
476,0.46874,1.5714,0.1
477,0.46874,1.7285,0.1
478,0.46874,1.8856,0.1
479,0.46874,2.0428,0.1
480,0.46874,2.2023,0.1
481,0.46874,2.3618,0.1
482,0.46874,2.5214,0.1
483,0.46874,2.6809,0.1
484,0.46874,2.8405,0.1
485,0.46874,3.,0.1
486,0.46874,3.1595,0.1
487,0.46874,3.3191,0.1
488,0.46874,3.4786,0.1
489,0.46874,3.6382,0.1
490,0.46874,3.7977,0.1
491,0.46874,3.9572,0.1
492,0.46874,4.1144,0.1
493,0.46874,4.2715,0.1
494,0.46874,4.4286,0.1
495,0.46874,4.5858,0.1
496,0.46874,4.7429,0.1
497,0.46874,4.9001,0.1
498,0.46874,5.0572,0.1
499,0.46874,5.2143,0.1
500,0.46874,5.3715,0.1
501,0.46874,5.5286,0.1
502,0.46874,5.6857,0.1
503,0.46874,5.8429,0.1
504,0.31249,0.15739,0.1
505,0.31249,0.31478,0.1
506,0.31249,0.47217,0.1
507,0.31249,0.62955,0.1
508,0.31249,0.78694,0.1
509,0.31249,0.94433,0.1
510,0.31249,1.1017,0.1
511,0.31249,1.2591,0.1
512,0.31249,1.4165,0.1
513,0.31249,1.5739,0.1
514,0.31249,1.7313,0.1
515,0.31249,1.8887,0.1
516,0.31249,2.0461,0.1
517,0.31249,2.205,0.1
518,0.31249,2.364,0.1
519,0.31249,2.523,0.1
520,0.31249,2.682,0.1
521,0.31249,2.841,0.1
522,0.31249,3.,0.1
523,0.31249,3.159,0.1
524,0.31249,3.318,0.1
525,0.31249,3.477,0.1
526,0.31249,3.636,0.1
527,0.31249,3.795,0.1
528,0.31249,3.9539,0.1
529,0.31249,4.1113,0.1
530,0.31249,4.2687,0.1
531,0.31249,4.4261,0.1
532,0.31249,4.5835,0.1
533,0.31249,4.7409,0.1
534,0.31249,4.8983,0.1
535,0.31249,5.0557,0.1
536,0.31249,5.2131,0.1
537,0.31249,5.3704,0.1
538,0.31249,5.5278,0.1
539,0.31249,5.6852,0.1
540,0.31249,5.8426,0.1
541,0.15625,0.15764,0.1
542,0.15625,0.31528,0.1
543,0.15625,0.47293,0.1
544,0.15625,0.63057,0.1
545,0.15625,0.78821,0.1
546,0.15625,0.94585,0.1
547,0.15625,1.1035,0.1
548,0.15625,1.2611,0.1
549,0.15625,1.4188,0.1
550,0.15625,1.5764,0.1
551,0.15625,1.7341,0.1
552,0.15625,1.8917,0.1
553,0.15625,2.0493,0.1
554,0.15625,2.2078,0.1
555,0.15625,2.3662,0.1
556,0.15625,2.5247,0.1
557,0.15625,2.6831,0.1
558,0.15625,2.8416,0.1
559,0.15625,3.,0.1
560,0.15625,3.1584,0.1
561,0.15625,3.3169,0.1
562,0.15625,3.4753,0.1
563,0.15625,3.6338,0.1
564,0.15625,3.7922,0.1
565,0.15625,3.9507,0.1
566,0.15625,4.1083,0.1
567,0.15625,4.2659,0.1
568,0.15625,4.4236,0.1
569,0.15625,4.5812,0.1
570,0.15625,4.7389,0.1
571,0.15625,4.8965,0.1
572,0.15625,5.0541,0.1
573,0.15625,5.2118,0.1
574,0.15625,5.3694,0.1
575,0.15625,5.5271,0.1
576,0.15625,5.6847,0.1
577,0.15625,5.8424,0.1
578,2.8271,0.15388,0.1
579,2.9875,0.15391,0.1
580,3.1479,0.15394,0.1
581,3.3083,0.15397,0.1
582,3.4687,0.154,0.1
583,3.6291,0.15403,0.1
584,3.7895,0.15406,0.1
585,3.9499,0.15409,0.1
586,4.1103,0.15412,0.1
587,4.2707,0.15415,0.1
588,4.4311,0.15418,0.1
589,4.5915,0.15421,0.1
590,4.7519,0.15424,0.1
591,4.9123,0.15427,0.1
592,5.0727,0.1543,0.1
593,5.2331,0.15433,0.1
594,5.3935,0.15436,0.1
595,5.5539,0.15439,0.1
596,5.7143,0.15442,0.1
597,5.8747,0.15445,0.1
598,6.0351,0.15449,0.1
599,6.1955,0.15452,0.1
600,6.3559,0.15455,0.1
601,6.5163,0.15458,0.1
